Billing Customer : ,Delivery To   Shiment Details : 
"Pernod Ricard Asia Duty Free Ltd. Pernod Ricard Hong Kong & Macau 25 F, Sun Life Tower 15 Canton Road, Harbour City Tsimshatsui, Kowloon, Hong Kong",,"Ozone Bar 118 F, The Ritz-Carlton Hong Kong"
Contact Person : ,,Contact : 
Contact Person :  Miss Maylis Berger,,Contact : 
Tel.   Fax : ,,Number : 
2378 7948 2381 8922,,
Our Ref. : ,,Your Ref. : 
20197779,,TMK  PO#92180167
Descrition,,Amount HKD
,,
1. Mumm and Olmeca menu for Ozone Bar,,
"- artwork, rinting roduction and delivery",,
- size :  128mm(w) x 190mm(h),,
- qty :  150es x 4 versions (600cs) (4 artworks ),,
,,
,,Grand Total : HKD
Payment Terms :  Full ayment to be ayable uon job comletion.,,
Total Amount :  Say HKD Five Thousand Three Hundred,,Dollar(s) Only.
Remarks :  Cheque should be crossed and made ayable Job is comleted on 23-Se-2019,,to CIRCUS ONE LTD.
