Descrition,Price
October Artwork Fee,,
 RS21 Lost blend Cal online Preorder 4 AWs,,HK$2400
 Abs EOY19 in MY GAWs,,HK$3600
 Abs EOY & TCM Nov Dec 3AWs,,HK$1800
e MY EOY TV Promo offer 4AWs,,HK$2400
e MY EOY Tchi Tentcard,,HK$600
 Abs EOY & TCM HKIA TV screen 2AWs,,HK$1200
 MT EOY endca HKIA AW,,HK$600
 MXO JKT Fixture AW,,HK$600
Quotation no :  14683 PO# 93195214,,
"Date -1 Nov, 19",,
Please make chegue ayable to  UNION-A WORKSHOP LiMiTED Thank You For Your Business 50% of total will be charged if the job is ut on hold for over 3 months If full ayment Is not received within 30 days of the date of this invoice a 20% surcharge will aly,,Total HK$1 3200
Aroved by autnorde eau,,
